Fleetio ID,Name,Contact Email,Contact Name,Contact Phone,External ID,Notes,Phone,Street Address,Street Address Line 2,City,State/Province/Region,Postal Code,Country,Labels,Tools,Charging,Fuel,Parts,Service,Vehicle,Latitude,Longitude,Website,Preferred,Network Status,Rating,Minority Owned (MBE),Women Owned (WBE),Archived At (Pacific Time (US & Canada)),Watchers,Created On (Pacific Time (US & Canada)),Updated On (Pacific Time (US & Canada))
3001054,Ahern Rentals,,,,,,800-400-1610,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,http://www.ahern.com,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:49 PM,01/31/2023 02:56:41 PM
3001046,Bargmann,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:40 PM,01/05/2023 03:36:40 PM
3090589,"Bargmann Construction & Consulting, Inc.",,,,,,,13219 Adair Creek Way NE,,Redmond,Washington,98053,US,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,47.71659870000001,-122.0210171,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,02/01/2023 01:16:39 PM,02/01/2023 01:16:39 PM
3001057,Beaverhead Motors,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:51 PM,01/25/2023 03:04:50 PM
3001066,Bert Bartman,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 04:09:40 PM,01/05/2023 04:09:40 PM
3001049,Bickford Ford,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:41 PM,01/25/2023 03:03:01 PM
3001041,Bidadoo,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:31 PM,01/05/2023 03:36:31 PM
3085335,Bidadoo.com Auctions,auctionservices@bidadoo.com,,,,,206-442-9000,1001 3rd Ave S,,Kent,Washington,98032,US,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,47.3712793,-122.236808,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/31/2023 08:29:37 AM,01/31/2023 08:29:37 AM
3018061,Birch,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 12:07:54 PM,01/11/2023 12:07:54 PM
3198087,B Kelley,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Brian Deller,03/08/2023 12:53:26 PM,03/08/2023 12:53:26 PM
3017922,Bobcat West,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:39 AM,01/25/2023 03:05:15 PM
3017891,Bob's Auto & Trailer Sales,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:06 AM,01/25/2023 03:03:51 PM
3001051,Brooks Biddle,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:43 PM,01/25/2023 03:04:13 PM
3198079,bruce kelley,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Brian Deller,03/08/2023 12:53:17 PM,03/08/2023 12:53:17 PM
9953113,Car Tech Auto Glass Inc,,,,,,(425) 744-0400,22325 Hwy 99,,Edmonds,Washington,98026,US,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,47.7961251,-122.3337079,https://cartechautoglass.com/,FALSE,Out of Network,0,FALSE,FALSE,,Tim Bjella,05/20/2024 08:56:49 AM,05/20/2024 08:56:49 AM
3001058,Cedardale,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:55 PM,01/05/2023 03:36:55 PM
3017924,Central Welding,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:40 AM,01/11/2023 11:50:40 AM
3857884,Chevrolet Everett,,,,,,800-491-9579,7301 Evergreen Way,,Everett,Washington,98203,US,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,47.9316042,-122.2195554,http://www.chevroletofeverett.com,FALSE,In Network,0,FALSE,TRUE,,Raschel Robinson,07/18/2023 03:13:19 PM,07/18/2023 03:13:19 PM
3857884,Chevrolet Everett,,,,,,800-491-9579,7301 Evergreen Way,,Everett,Washington,98203,US,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,47.9316042,-122.2195554,http://www.chevroletofeverett.com,FALSE,In Network,0,FALSE,TRUE,,Raschel Robinson,07/18/2023 03:13:19 PM,07/18/2023 03:13:19 PM
3085712,Contractors Equipment Sales & Leasing,,,,,,360-653-6545,PO Box 499,,Lake Stevens,WA,98258,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,48.01509799999999,-122.0637425,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/31/2023 10:10:47 AM,01/31/2023 10:10:47 AM
3093436,"Copiers Etcetera, Inc.",traci@copiersetcetera.com,Traci Kesinger,425-486-2679,,,877-661-2928,PO Box 100706,,Pasadena,CA,91189-0706,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34.1318458,-118.1477604,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,02/02/2023 09:36:14 AM,02/02/2023 09:36:14 AM
3046437,Costco,,,,,,425-379-7451,10200 19th Ave SE,,Everett,Washington,98208,US,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,47.9047303,-122.2077124,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/20/2023 09:27:28 AM,01/20/2023 09:36:48 AM
3198084,Darling,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Brian Deller,03/08/2023 12:53:21 PM,03/08/2023 12:53:21 PM
3001042,Darling & Sons,,,,,,360-668-7617,PO Box 1838,,Woodinville,WA,98072,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,47.7542651,-122.1634582,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:34 PM,01/31/2023 08:58:57 AM
10189804,"Darling Sons International, LLC",,,,,,360-668-7617,20915 Yew Way,,Snohomish,Washington,98296,US,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,47.80723219999999,-122.1105218,https://darlingsons.com/,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,07/17/2024 09:50:02 AM,07/17/2024 09:50:02 AM
3160576,Dell Technologies,,,,,,,505 1st Ave S 4th Floor,,Seattle,Washington,98104,US,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,47.5974242,-122.3347202,https://www.delltechnologies.com/en-us/,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,02/23/2023 09:51:48 AM,02/23/2023 09:51:48 AM
3001055,DSU Peterbilt & GMC,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:49 PM,01/05/2023 03:36:49 PM
3001050,Dwayne Lanes,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:42 PM,01/25/2023 03:06:44 PM
12950656,Eastlake Auto Brokersq,,,,,Bought as is,4258231500,13105 NE 124th St,,Kirkland,Washington,98034,US,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,47.7108926,-122.1668357,,FALSE,Needs Invite,,FALSE,FALSE,,Kim Newsome,02/03/2026 11:56:09 AM,02/03/2026 11:56:09 AM
3017917,Ebay,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:38 AM,01/11/2023 11:50:38 AM
3001043,Ehli Auction,,,,,,253-572-0990,9415 Pacific Ave S,,Tacoma,Washington,98444,US,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,47.17086,-122.4333682,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:35 PM,01/31/2023 03:30:43 PM
3001056,Enterprise,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:50 PM,01/05/2023 03:36:50 PM
3198088,Everett Chev,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Brian Deller,03/08/2023 12:53:26 PM,03/08/2023 12:53:26 PM
3001067,Everett Chevrolet,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 04:09:44 PM,01/25/2023 03:05:35 PM
3017915,Farmers Equipment Co,,,,,,888-855-4982,17893 State Rte 20,,Burlington,Washington,98233,US,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,48.4654768,-122.360327,https://www.farmersequip.com/,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:37 AM,01/27/2023 03:10:39 PM
3068319,Good Chevrolet,,,,,,425-235-200,325 SW 12th St,,Renton,Washington,98057,US,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,47.4685602,-122.22237,,FALSE,In Network,5,FALSE,FALSE,,Raschel Robinson,01/26/2023 12:36:53 PM,01/26/2023 12:38:12 PM
3068319,Good Chevrolet,,,,,,425-235-200,325 SW 12th St,,Renton,Washington,98057,US,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,47.4685602,-122.22237,,FALSE,In Network,5,FALSE,FALSE,,Raschel Robinson,01/26/2023 12:36:53 PM,01/26/2023 12:38:12 PM
3017923,Grainger,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:40 AM,01/11/2023 11:50:40 AM
10347430,Harbor Freight,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,08/23/2024 12:32:10 PM,08/23/2024 12:32:10 PM
3017913,HD Supply,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:35 AM,01/11/2023 11:50:35 AM
3001065,Heintzman,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 04:09:39 PM,01/05/2023 04:09:39 PM
3088265,Heintzman Equipment Company Inc.,,,,,,425-353-8010,12921 Mukilteo Speedway,,Lynnwood,Washington,98037,US,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,47.8809171,-122.2770237,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,02/01/2023 08:50:56 AM,02/01/2023 08:50:56 AM
3017890,High Voltage Capitol,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:06 AM,01/11/2023 11:50:06 AM
3017905,Home Depot,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:31 AM,01/11/2023 11:50:31 AM
3017893,James G Murpy,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:10 AM,01/25/2023 03:07:52 PM
3198083,Jet City,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Brian Deller,03/08/2023 12:53:20 PM,03/08/2023 12:53:20 PM
3198080,JGM,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Brian Deller,03/08/2023 12:53:18 PM,03/08/2023 12:53:18 PM
3046553,Jiffy Lube,,,,,,425-353-5455,6209 Evergreen Way,,Everett,Washington,98203,US,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,47.9416656,-122.2171488,,FALSE,In Network,0,FALSE,FALSE,,Raschel Robinson,01/20/2023 09:52:35 AM,01/20/2023 09:52:35 AM
3046553,Jiffy Lube,,,,,,425-353-5455,6209 Evergreen Way,,Everett,Washington,98203,US,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,47.9416656,-122.2171488,,FALSE,In Network,0,FALSE,FALSE,,Raschel Robinson,01/20/2023 09:52:35 AM,01/20/2023 09:52:35 AM
3017901,JTI Supply,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:24 AM,01/11/2023 11:50:24 AM
3198081,Kris,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Brian Deller,03/08/2023 12:53:18 PM,03/08/2023 12:53:18 PM
3046488,Les Schwab Tire Center,,,,,,(425) 267-1490,9736 Evergreen Way,,Everett,Washington,98204,US,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,47.909546,-122.2407672,https://www.lesschwab.com/stores/wa/everett/9736-evergreen-way?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,FALSE,In Network,0,FALSE,FALSE,,Raschel Robinson,01/20/2023 09:37:56 AM,01/20/2023 09:40:28 AM
3046488,Les Schwab Tire Center,,,,,,(425) 267-1490,9736 Evergreen Way,,Everett,Washington,98204,US,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,47.909546,-122.2407672,https://www.lesschwab.com/stores/wa/everett/9736-evergreen-way?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,FALSE,In Network,0,FALSE,FALSE,,Raschel Robinson,01/20/2023 09:37:56 AM,01/20/2023 09:40:28 AM
3017898,Lowes,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:18 AM,01/11/2023 11:50:18 AM
3017903,Manor Hardware,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:31 AM,01/11/2023 11:50:31 AM
13349225,Marysville Toyota Service,,,,,,(360) 651-0260,16120 Smokey Point Blvd,,Marysville,Washington,98271,US,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,48.1428787,-122.1848772,https://www.marysvilletoyota.com/service/?utm_source=Google&utm_medium=Organic&utm_campaign=googlemybusiness,FALSE,In Network,0,FALSE,FALSE,,Kim Newsome,03/30/2026 03:03:48 PM,03/30/2026 03:05:01 PM
13509465,McDaniel's Do it Center,,,,,,(360) 568-1544,510 2nd St,,Snohomish,Washington,98290,US,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,47.9133374,-122.0882203,https://www.doitbest.com/mcdaniels-do-it-center/,FALSE,Needs Invite,,FALSE,FALSE,,Kim Newsome,04/21/2026 10:35:17 AM,04/21/2026 10:35:17 AM
3017897,Mighty Quip,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:17 AM,01/11/2023 11:50:17 AM
3017925,Modern Machinery,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:41 AM,01/25/2023 03:08:48 PM
3001045,NC Machinery,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:38 PM,01/25/2023 03:09:11 PM
3017902,NW Eqpt Sales,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:30 AM,01/11/2023 11:50:30 AM
3017926,NW Safe Co,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:43 AM,01/11/2023 11:50:43 AM
3017916,Pape,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:37 AM,01/25/2023 03:09:36 PM
3857896,Pape Machinery,dsupler@papemachinery.com,David Supler,360-421-2500,,,360-424-7995,4220 Old Hwy 99 South Rd,,Mount Vernon,Washington,98273,US,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,48.3860245,-122.3338869,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,07/18/2023 04:02:16 PM,07/18/2023 04:02:16 PM
3017914,Pay Dirt,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:36 AM,01/11/2023 11:50:36 AM
3017892,Peters&Keatts,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:07 AM,01/11/2023 11:50:07 AM
3017908,Pilchuck Rentals and Equipment Sales,,,,,,360-659-5557,9114 State Ave,,Marysville,Washington,98270,US,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,48.0790063,-122.1754794,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/11/2023 11:50:33 AM,01/30/2023 08:58:30 AM
3001052,Private Owner,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Raschel Robinson,01/05/2023 03:36:43 PM,01/25/2023 03:47:46 PM
3198082,rbauction,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,Needs Invite,,FALSE,FALSE,,Brian Deller,03/08/2023 12:53:19 PM,03/08/2023 12:53:19 PM
