work_order_number,type,summary,labor_cost,parts_cost,description
10,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
13,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
17,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
17,ServiceTask,Fuel Filter Replacement,0.0,0.0,
17,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
17,ServiceTask,oil pan and seal replacement,0.0,0.0,
17,ServiceTask,Front Crankshaft Seal Replacement,0.0,0.0,
17,ServiceTask,Cylinder Head Gasket Replacement,0.0,0.0,
17,ServiceTask,Power Steering Line Replacement,0.0,0.0,
17,ServiceTask,Turbocharger Assembly Inspect,0.0,0.0,
17,ServiceTask,Electrical System (Miscellaneous),0.0,0.0,
18,ServiceTask,Fuel Filter Replacement,0.0,0.0,
19,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
19,ServiceTask,Fuel Filter Replacement,0.0,0.0,
19,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
19,ServiceTask,Tires (Miscellaneous),0.0,0.0,replace front tires due to outer edge wear
20,ServiceTask,Heater Core Replacement,0.0,0.0,
20,ServiceTask,Engine Leak Inspection,0.0,0.0,
20,ServiceTask,Front Brakes & Drums,0.0,0.0,
20,ServiceTask,Windshield Washer System Inspect,0.0,0.0,
20,ServiceTask,Exterior Bulb Replacement,0.0,0.0,
21,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
22,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
23,ServiceTask,Vehicle Multi-Point Inspection,0.0,0.0,
23,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
23,ServiceTask,Fuel Filter Replacement,0.0,0.0,
24,ServiceTask,Fuel System Service,0.0,0.0,
24,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
24,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
25,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
25,ServiceTask,Fuel Filter Replacement,0.0,0.0,
25,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
24,ServiceTask,OIl Pan drain valve,0.0,0.0,
24,ServiceTask,Engine Drive Belt Replacement,0.0,0.0,
26,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
26,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
26,ServiceTask,Fuel Filter Replacement,0.0,0.0,
27,ServiceTask,Exterior Lighting Inspect,0.0,0.0,Install work lights and service beacon
27,ServiceTask,Body (Miscellaneous),0.0,0.0,Add roof rack and paint white
27,ServiceTask,Electrical System (Miscellaneous),0.0,0.0,"Replace the RV plug for towing

Install inverter for small tool chargers"
28,ServiceTask,Suspension Leaf Spring Inspect,0.0,0.0,"replace broken leaf spring on driver's front
also replace the pins and u-bolts"
28,ServiceTask,Body (Miscellaneous),0.0,0.0,Welded the tailgate cracks and installed patch panel over hole in bottom edge of the tailgate
28,ServiceTask,Body & Frame (Miscellaneous),0.0,0.0,tac welded small plate over the opening at the top of the doghouse in the dump box
28,ServiceTask,Body (Miscellaneous),0.0,0.0,mud flap installation on passenger side
28,ServiceTask,Body & Frame (Miscellaneous),0.0,0.0,Repair the crack in the bash board on driver's side of the dump box
29,ServiceTask,Brake Pads Replacement,0.0,0.0,Replace front and rear brake pads
29,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
29,ServiceTask,Fuel Filter Replacement,0.0,0.0,
29,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
29,ServiceTask,Body (Miscellaneous),0.0,0.0,Removed roof rack
29,ServiceTask,Windshield Wiper Blade Replacement,0.0,0.0,
29,ServiceTask,Tires (Miscellaneous),0.0,0.0,All tires spin balanced
31,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
31,ServiceTask,Fuel Filter Replacement,0.0,0.0,
32,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
32,ServiceTask,Fuel Filter Replacement,0.0,0.0,
32,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
37,ServiceTask,Fuel Filter Replacement,0.0,0.0,
37,ServiceTask,Fuel Filter Inspect,0.0,0.0,
,ServiceTask,Engine Oil Level Inspect,0.0,0.0,
,ServiceTask,ABS Control Module Replacement,0.0,0.0,
,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
40,ServiceTask,Electrical diagnostics,0.0,0.0,
40,ServiceTask,Electrical System (Miscellaneous),0.0,0.0,
41,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
41,ServiceTask,Fuel Filter Replacement,0.0,0.0,
42,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
42,ServiceTask,Fuel Filter Replacement,0.0,0.0,
,ServiceTask,Brake Pads Replacement,0.0,0.0,
44,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
44,ServiceTask,Fuel Filter Replacement,0.0,0.0,
44,ServiceTask,Hydraulic filter change,0.0,0.0,
45,ServiceTask,hydraulic hose replacement,0.0,0.0,
45,ServiceTask,hydraulic hose replacement,0.0,0.0,
51,ServiceTask,Drive Belt Tensioner Replacement,0.0,0.0,
51,ServiceTask,Fan Pulley and Belts Inspection,0.0,0.0,
52,ServiceTask,boom cables,0.0,0.0,
53,ServiceTask,Alternator Replacement,0.0,0.0,
53,ServiceTask,Alternator Test,0.0,0.0,
54,ServiceTask,Battery Replacement,0.0,0.0,
